exp_id,mol_id,smiles
exp_5,mol_2023_02_05_1447432_000,[H]C1=C([H])C([H])([H])C2=C([H])C([H])(O[C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])OC([H])([H])[S@@](=O)O)C([H])=C([H])NC2=N1
exp_5,mol_2023_02_05_1312452_000,[H]/C(NC(=O)N([H])C([H])(C#N)NC1=NSC([H])(C(=O)NN([H])C([H])([H])C([H])([H])[H])N([H])C1([H])[H])=C(/[H])C([H])([H])[H]
exp_5,mol_2023_02_05_1546162_000,[H]C([H])=C([H])/C([H])=C(/[H])C([H])([H])[C@@]([H])(N([H])OC([H])([H])C([H])([H])N1C(=O)C([H])([H])OC1([H])[H])C([H])([H])[H]
exp_5,mol_2023_02_05_1428183_000,[H]C1=C2C(C(=O)C([H])([H])C([H])([H])[H])=C([H])C3=C(NN2C([H])([H])S1)SC([H])=C(C([H])([H])C([H])([H])[H])C3([H])N([H])[H]
exp_5,mol_2023_02_05_1455031_000,[H]OC([H])(N1C2([H])C(=NN([H])C1([H])C([H])([H])[H])SC(=C([H])[H])C2([H])N(C#N)C([H])([H])C([H])([H])C(=S)N([H])[H])C([H])([H])[H]
exp_5,mol_2023_02_05_1442510_000,[H]Oc1nc(C([H])([H])NN(O)C([H])([H])[C@@]2([H])C([H])([H])C([H])([H])[C@@]([H])(C([H])([H])[H])C2([H])[H])c([H])c([H])c1[H]
exp_5,mol_2023_02_05_1247222_000,[H]c1nc(N([H])[C@@]2([H])N3C([H])([H])N([H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])O[C@]32O)c([H])c([H])c1[H]
exp_5,mol_2023_02_05_1332170_000,[H]Nc1c(NNC([H])([H])[C@]2(C([H])([H])[H])C([H])([H])C([H])([H])C([H])(O[H])C2([H])[H])c([H])c([H])c([H])c1N([H])[H]
exp_5,mol_2023_02_05_1333380_000,[H]c1c([H])c(C([H])([H])[H])c([H])c(C([H])(N([H])[H])N([H])[H])c1NS(=O)(=O)C([H])([H])N([H])C(=O)C([H])([H])[H]
exp_5,mol_2023_02_05_1404320_000,[H]O[C@@]([H])(N([H])C([H])=O)[C@@]([H])(OC1=C([H])C([H])=C([H])C([H])([H])C([H])=C1[H])C([H])([H])N([H])N([H])NC([H])([H])[H]
exp_5,mol_2023_02_05_1329311_000,[H]Oc1c([H])c([H])c([H])c([H])c1C(=O)[N-]C(=O)/C(=[N+](\[H])C([H])([H])[H])[C@]1([H])C([H])([H])C1([H])OC([H])([H])[H]
exp_5,mol_2023_02_05_1312510_000,[H]N=C(NS(=O)(=O)C([H])([H])[H])OC([H])([H])/C([H])=N/C(=O)NC([H])([H])SNN([H])C([H])(Cl)C([H])([H])OC([H])([H])[H]
exp_5,mol_2023_02_05_1504220_000,[H]C1=NC(=O)C([H])([H])/C(=C(/C2=NO2)C([H])([H])/C([H])=N\N[N-]C(=[N+]([H])[H])C([H])([H])OC([H])([H])C([H])([H])[H])C1([H])[H]
exp_5,mol_2023_02_05_1256081_000,[H]OC([H])(OC(F)(F)F)C([H])(OC([H])([H])[H])C([H])([H])C([H])([H])/C([H])=C(\[H])C([H])([H])C([H])(OC([H])([H])[H])C(=O)C([H])([H])[H]
exp_5,mol_2023_02_05_1344222_000,[H]O[C@]([H])(C([H])([H])[C@@]([H])(C1=C([H])C([H])=C([H])C1([H])[H])C([H])([H])[H])[C@]1([H])C(=O)N1c1c([H])nc([H])c([H])c1[H]
exp_5,mol_2023_02_05_1457373_000,[H]NC1=C(C([H])(NNN([H])C([H])([H])NC([H])([H])C#N)C(=O)C([H])([H])N([H])C2=C([H])N=C([H])C2([H])[H])C([H])([H])C([H])=C1[H]
exp_5,mol_2023_02_05_1248550_000,[H]C([H])=C([H])C1([H])N([H])C([H])=C2NNC([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C(=O)OC([H])([H])[C@@]21OC([H])([H])[H]
exp_5,mol_2023_02_05_1434531_000,[H]/C1=N\NC([H])([H])N([H])C2([H])OC([H])(N([H])C2=O)N([H])C([H])([H])/[N+]([H])=C2/[N-][C@@]3([H])O[C@@]([H])(N2[H])C([H])([H])C([H])([H])C([H])([H])N13
exp_5,mol_2023_02_05_1521110_000,[H]c1c([H])c([H])c(N2N([H])Nc3c([H])c([H])c([H])c([H])c3N(C([H])([H])[H])C([H])([H])SC2([H])[H])c(F)c1[H]
exp_5,mol_2023_02_05_1416071_000,[H]OC([H])([H])O[C@@]1([H])/N=C(\[H])C(=O)NC([H])(C([H])([H])N([H])[H])N([H])C(=O)C([H])([H])C([H])([H])C([H])([H])C1([H])[H]
exp_5,mol_2023_02_05_1316582_000,[H]c1c([H])c(C([H])([H])C([H])([H])[H])c([H])c([H])c1C([H])([H])C(=O)NN([H])SC1=NO[C@]([H])(N([H])[H])C1([H])[H]
exp_5,mol_2023_02_05_1320291_000,[H]OC([H])(C([H])([H])C1=C([H])N(C([H])([H])[H])NC([H])([H])C1([H])[H])C([H])([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]
exp_5,mol_2023_02_05_1454503_000,[H]N1OC([H])([H])C([H])(NC([H])([H])NN([H])C2([H])SC([H])([H])C([H])(C([H])([H])C(=O)C([H])([H])[H])S2)N1NC(=O)C([H])([H])[H]
exp_5,mol_2023_02_05_1412143_000,[H]O[C@]([H])(NNc1c([H])c([H])c([H])c([H])c1[H])/C([H])=N/C(=O)C(=O)[C@@]1([H])C(=O)C([H])([H])C([H])([H])C1([H])[H]
exp_5,mol_2023_02_05_1349411_000,[H]OC1([H])N(C(=O)N([H])[H])C(=O)N([H])C([H])([H])N([H])C([H])(C(=O)N([H])Nc2nc([H])c([H])c([H])c2[H])C1([H])[H]
exp_5,mol_2023_02_05_1251581_000,[H]C1=C(NC(=O)N2N([H])[C@@]2([H])C(=O)N(N([H])[H])[C@]([H])(C([H])([H])[H])C([H])([H])[H])C([H])=C([H])C([H])(F)C([H])=C1[H]
exp_5,mol_2023_02_05_1242213_000,[H]C1=C([H])[C@]([H])(C([H])([H])/C([H])=C([H])/C(C(=O)C([H])([H])[H])=C(\[H])C([H])([H])[H])/C(=N/C([H])([H])C([H])([H])[H])C1([H])C([H])([H])[H]
exp_5,mol_2023_02_05_1415570_000,[H]C([H])([H])O/N=C(/N1C(=O)C1([H])C([H])(C([H])([H])[H])C([H])(Cl)C([H])([H])C1=C(N=N)C1([H])OC(F)(F)F)C([H])([H])C([H])([H])C([H])([H])[H]
exp_5,mol_2023_02_05_1428381_000,[H]C1=NOC2([H])C(=NC([H])=C(C([H])([H])C([H])([H])[C@]3([H])OC(=O)[C@@]([H])(C4([H])C([H])([H])C4([H])[H])N([H])O3)C2([H])[H])N1
exp_5,mol_2023_02_05_1545352_000,[H]N(C([H])([H])OC([H])([H])[H])C([H])([H])C([H])([H])C1(C([H])([H])[C@@]2([H])C(=O)C([H])([H])C2([H])[H])C([H])([H])C1([H])[H]
exp_5,mol_2023_02_05_1401142_000,[H]OC([H])(C([H])([H])[H])C([H])([H])C(=O)N(C1=C(C([H])([H])[H])C([H])=C([H])C([H])([H])S1)[C@]1(O[H])O[C@]12NOC([H])([H])O2
exp_5,mol_2023_02_05_1438463_000,[H]OC(=O)C(=O)C([H])([H])N(C(=O)C([H])([H])C([H])([H])NC1=NNC([H])(Cl)SC([H])(C([H])([H])O[H])C1([H])[H])C([H])([H])C([H])([H])[H]
