mol_id,total_atoms,stable_ratio,exp_id,dummy_atoms,samples,silvr,comment,crude_rmsd,is_fragmented,qed,sa,smiles
mol_2023_02_23_1417453_000,31,0.7096774193548387,exp_22,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0A and Mpro-x0354_0A, rate=0",5.287282023170387,False,0.6050459674644507,7.810818390552647,[H]N/N=C1\C2([H])C([H])=NC(C([H])([H])C(=O)C([H])([H])[H])=C2N2C([H])=C2C([H])([H])/C([H])=N\C([H])([H])C1([H])[H]
mol_2023_02_23_1539421_000,31,0.9032258064516129,exp_22,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0A and Mpro-x0354_0A, rate=0",5.639705120712756,False,0.5562635624379176,7.803638920157957,[H]O[C@]1([H])C([H])([H])O[C@]2([H])N(C(=O)OC([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])[C@]2([H])C1([H])[H]
mol_2023_02_23_1403180_000,31,0.6129032258064516,exp_22,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0A and Mpro-x0354_0A, rate=0",5.541137117652691,True,0.3031648746816401,,[H]C1([H])C(=O)N1[C@]1([H])OC1([H])[H].[H]OC1=C(C([H])([H])C2=NN([H])C([H])([H])C([H])([H])N2)C([H])(Cl)N1[H]
mol_2023_02_23_1456552_000,31,0.8709677419354839,exp_22,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0A and Mpro-x0354_0A, rate=0",5.370068834244487,False,0.3074823584125602,6.9779205899875265,[H]C([H])=C([H])/N=C([H])/[N+]([H])=C(\[H])C([H])(C(=O)N([H])[H])[C@@]1([H])N([H])C(=O)N([H])C(=O)C1([H])[H]
mol_2023_02_23_1319093_000,31,0.8387096774193549,exp_22,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0A and Mpro-x0354_0A, rate=0",5.720833475881998,,,,
mol_2023_02_23_1520270_000,31,1.0,exp_22,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0A and Mpro-x0354_0A, rate=0",4.835603126434472,False,0.6668398056957892,7.950987099685258,[H]C1=C(C#N)C([H])(OC([H])([H])[H])C([H])([H])[C@]([H])(C([H])([H])[C@@]23C([H])([H])C([H])([H])[N@+]2([H])C3([H])[H])C1=O
mol_2023_02_23_1517043_000,31,0.8064516129032258,exp_22,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0A and Mpro-x0354_0A, rate=0",5.377288360921856,False,0.7798338259802865,7.980854720611795,[H]C1=NC(C([H])([H])N([H])N2C(=O)C([H])([H])C([H])([H])C([H])([H])C2([H])[H])=C([H])C([H])=C([H])C1([H])[H]
mol_2023_02_23_1528143_000,31,0.8709677419354839,exp_22,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0A and Mpro-x0354_0A, rate=0",5.8345835892024684,True,0.6654614197499586,,[H]C1=C2N=NN=C2C([H])=C1N([H])C([H])([H])[H].[H]NC(=S)N([H])C1=C([H])C([H])=C([H])C1([H])[H]
mol_2023_02_23_1535321_000,31,0.8709677419354839,exp_22,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0A and Mpro-x0354_0A, rate=0",5.723174555547303,False,0.6107804136092877,7.494682278928903,[H]O[C@]([H])(Oc1c([H])c([H])c([H])c([H])c1[H])C(=S)C([H])(OC([H])([H])[H])C([H])([H])C([H])([H])[H]
mol_2023_02_23_1442052_000,31,0.8709677419354839,exp_22,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0A and Mpro-x0354_0A, rate=0",4.5807001066985436,,,,
mol_2023_02_23_1329361_000,31,0.9354838709677419,exp_22,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0A and Mpro-x0354_0A, rate=0",5.054646135329363,True,0.5652167083662658,,[H]C1=C([H])C([H])([H])C([H])=C1[H].[H]OC([H])([H])OC(=O)[C@]([H])(C([H])([H])[H])C([H])([H])OC([H])([H])[H]
mol_2023_02_23_1427162_000,31,0.9032258064516129,exp_22,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0A and Mpro-x0354_0A, rate=0",5.172396754716938,True,0.581951990293137,,[H]C([H])=C([H])C([H])([H])NC([H])([H])[H].[H]N(C([H])([H])[H])C([H])([H])[C@@]1([H])C([H])([H])[C@]1([H])N([H])C([N-2])=O
mol_2023_02_23_1500590_000,31,0.8387096774193549,exp_22,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0A and Mpro-x0354_0A, rate=0",6.00547756238969,True,0.22573282211316087,,[H]C(/C([H])=[N+](\[H])C([H])([H])C([H])([H])[H])=[N+](\[H])C([H])([H])[O-].[H]N=C([H])/N=C1/C([H])=C([H])[C@](F)(Cl)C1([H])[H]
mol_2023_02_23_1334212_000,31,0.9032258064516129,exp_22,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0A and Mpro-x0354_0A, rate=0",5.450103104824705,False,0.6655495388432338,7.464534141455509,[H]c1c(C#N)c(Cl)c([H])c2c1C([H])([H])C(=C(C([H])([H])[H])C([H])([H])[H])C(=O)C2([H])C([H])([H])[H]
mol_2023_02_23_1322320_000,31,0.7419354838709677,exp_22,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0A and Mpro-x0354_0A, rate=0",6.0147742162021345,False,0.5514481426061095,6.12156389591009,[H]c1c([H])c2c(c([H])c1Cl)Oc1c(c([H])c([N+](=O)[O-])c([H])c1N([H])C(=O)C([H])([H])[H])S2
mol_2023_02_23_1404380_000,31,0.8709677419354839,exp_22,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0A and Mpro-x0354_0A, rate=0",5.342577969645554,,,,
mol_2023_02_23_1427313_000,31,0.967741935483871,exp_22,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0A and Mpro-x0354_0A, rate=0",5.026136366341655,False,0.26347004497717896,6.686714864004047,[H]C1=C([H])C([H])([H])C([H])=C1N([H])C([H])([H])N([H])C([H])([H])C([H])([H])OOC([H])([H])C([H])([H])[H]
mol_2023_02_23_1528341_000,31,0.8709677419354839,exp_22,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0A and Mpro-x0354_0A, rate=0",5.511422596055274,True,0.7641135341283947,,[H]C([H])([H])[H].[H]OC1([H])C(=O)N([H])C([H])(OC([H])([H])[H])C([H])=C1C(=O)C1=C([H])C([H])=C([H])C1([H])[H]
mol_2023_02_23_1452561_000,31,0.9032258064516129,exp_22,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0A and Mpro-x0354_0A, rate=0",6.2441520358717195,False,0.3923396629637481,5.899903966283753,[H]N(NC([H])([H])C([H])([H])NC1([H])SC(=O)N([C@]([H])(N([H])[H])C(F)(F)F)C1([H])[H])C([H])([H])C([H])([H])[H]
mol_2023_02_23_1322391_000,31,0.9032258064516129,exp_22,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0A and Mpro-x0354_0A, rate=0",4.786004162283153,True,0.4127015263379617,,[H]C([H])(F)OC([H])([H])C(=O)O.[H]OC([H])([H])C([H])([H])NC([H])(NC([H])([H])C([H])([H])[H])C([H])([H])C#N
mol_2023_02_23_1604481_000,31,0.7741935483870968,exp_22,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0A and Mpro-x0354_0A, rate=0",4.8387464462112595,False,0.10920316925547888,8.038863288020101,[H]NN([H])C([H])(OC([H])([H])[H])/C([H])=C1/OC1([H])/C([H])=C(/[H])C([H])([H])C([H])([H])O[C@@]1(O)N([H])C1([H])[H]
mol_2023_02_23_1541150_000,31,0.8387096774193549,exp_22,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0A and Mpro-x0354_0A, rate=0",5.524461310044765,True,0.4858643624976049,,[H]C([H])([H])OOC([H])([H])[H].[H]C([H])([H])[H].[H]Oc1c([H])c([H])c(O[N+](=O)[O-])c([H])c1[H]
mol_2023_02_23_1316522_000,31,0.7096774193548387,exp_22,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0A and Mpro-x0354_0A, rate=0",5.005354934137042,True,0.2966691685055969,,[H]N(C([H])([H])[H])C1([H])SC([H])(C(=S)NC#N)C([H])([H])N1[H].[H]NC([H])(C#N)C([H])([H])OC([H])([H])[H]
mol_2023_02_23_1448140_000,31,0.8064516129032258,exp_22,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0A and Mpro-x0354_0A, rate=0",5.208059464030499,True,0.21128966817459177,,[H]C([H])([H])[S+]=O.[H]N([H])NN([H])NC([H])([N-]C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])[H]
mol_2023_02_23_1441022_000,31,0.9032258064516129,exp_22,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0A and Mpro-x0354_0A, rate=0",5.940099363753339,False,0.6781262479806682,7.090642493361921,[H]C1=C(C(=O)C([H])([H])N([H])C([H])([H])C([H])([H])c2c([H])c([H])c3nnnnn23)N([H])C([H])([H])S1
mol_2023_02_23_1503162_000,31,0.6451612903225806,exp_22,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0A and Mpro-x0354_0A, rate=0",5.412354142827131,True,0.42154946910764074,,[H]NC1([H])C(=O)C1([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H].[H][N-]C1([H])N([H])C1([H])C([H])([H])C(=O)[N+]([H])=C([H])[H]
mol_2023_02_23_1457323_000,31,0.967741935483871,exp_22,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0A and Mpro-x0354_0A, rate=0",4.858286146781286,False,0.46543797122589337,7.582104879970037,[H]N([H])C([H])([H])C([H])([H])C(=O)C([H])([H])[C@@]1([H])N(C(=O)C([H])([H])[H])[C@@]1([H])N[C@@]1([H])ON1[H]
