mol_id,total_atoms,stable_ratio,exp_id,dummy_atoms,samples,silvr,comment,crude_rmsd,is_fragmented,qed,sa,smiles
mol_2023_03_01_0031023_000,48,0.6666666666666666,exp_29,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro fragments x1093, x0072, x2193, rate=0",6.6579867035722895,False,0.43326066456691115,8.24079330551337,[H]/C(=C1\NNN2C3=C(C([H])([H])C([H])([H])C(=S)C45OC4(C([H])([H])[H])S5)N3C([H])(C(=O)N3C([H])([H])OC([H])([H])C([H])([H])C([H])([H])C3([H])[H])SC2([H])S1)C([H])([H])[H]
mol_2023_03_01_0145051_000,48,0.8333333333333334,exp_29,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro fragments x1093, x0072, x2193, rate=0",6.118893186921296,False,0.3837211521513124,8.558344988162602,[H]C(=C(\[H])[C@@]([H])(N([H])C([H])([H])C([H])([H])[C@@]1(C([H])([H])[H])C([H])([H])[C@]1([H])/C([H])=C(\[H])C([H])([H])[H])[C@]1([H])OC1([H])[H])/C([H])=N/C(=O)C([H])([H])N([H])[H]
mol_2023_03_01_0249063_000,48,0.7708333333333334,exp_29,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro fragments x1093, x0072, x2193, rate=0",5.8768652780378945,True,0.21669646890387745,,[H]N1C([H])([H])[C@@]1(C([H])([H])[H])C([H])([H])C([H])([H])[C@]1(C([H])([H])[H])OC1([H])[H].[H]OC([H])([H])C([H])(NC([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])N([H])C([H])([H])O
mol_2023_03_01_0253101_000,48,0.8333333333333334,exp_29,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro fragments x1093, x0072, x2193, rate=0",5.68419487062453,,,,
mol_2023_03_01_0216280_000,48,0.6875,exp_29,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro fragments x1093, x0072, x2193, rate=0",5.813758677480224,True,0.05037702742863673,,[H]/C(=C(\[H])C1([H])N(NNN([H])C(=O)C([H])([H])C([H])([H])[H])C1([H])NN([H])C([H])([H])C([H])([H])[H])C([H])([H])[H].[H]N(C([H])([H])O)C([H])([H])C([H])([H])NC(=S)C([H])([H])[H]
mol_2023_03_01_0202411_000,48,0.8125,exp_29,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro fragments x1093, x0072, x2193, rate=0",5.704861009643919,True,0.5790602021415797,,[H]C([H])([H])C([H])([H])[H].[H]C1=C(C(=O)N(C([H])([H])N([H])[H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])=C([H])C([H])([C@@]2([H])N([H])C2([H])OC([H])([H])[H])C([H])=C1[H]
mol_2023_03_01_0233230_000,48,0.9375,exp_29,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro fragments x1093, x0072, x2193, rate=0",6.02588900527659,False,0.6734649584197048,7.855107609959391,[H]c1nc(N([H])C(=O)N2N3C4=C(C5=C(OC([H])([H])O5)C([H])(C([H])([H])N([H])[H])S4)[C@@]34ON(C([H])([H])[H])C(=O)N4C([H])([H])C2([H])[H])c([H])c([H])c1[H]
mol_2023_03_01_0150460_000,48,0.875,exp_29,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro fragments x1093, x0072, x2193, rate=0",5.5023537427466795,True,0.44704175488998626,,[H]N([H])OC([H])([H])C([H])([H])N([H])[H].[H]N([H])[C@@]1([H])C([H])([H])C([H])([H])[C@@]2([H])O[C@@]12[H].[H]c1sc2c([H])c([C@]3([H])NC3=O)c(C([H])([H])[H])nc2c1[H]
mol_2023_03_01_0202560_000,48,0.6875,exp_29,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro fragments x1093, x0072, x2193, rate=0",5.492078395287695,True,0.11204833251377865,,[H]C([H])([H])[H].[H]OC([H])([H])C([H])([H])C([H])([H])C(=O)N1C(=S)C1([H])NNC1=C(N([H])C(=O)N2NC2([H])C([H])([H])NC([H])([H])C([H])([H])[H])C([H])([H])C(C([H])([H])C(=O)O)=C1[H]
mol_2023_03_01_0218462_000,48,0.8125,exp_29,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro fragments x1093, x0072, x2193, rate=0",5.487742754915783,True,0.6173229500509615,,[H]/C(c1c([H])c([H])c([H])c([H])c1[H])=[N+](\[H])C(=O)[N-]C([H])([H])[C@@]1([H])C([H])([H])[C@@]2([H])O[C@@]2([H])[C@@]1([H])[C@]1([H])O[C@]12O[C@@]2([H])C([H])([H])[H].[H]C1([H])OC1([H])[H]
mol_2023_03_01_0158530_000,48,0.9375,exp_29,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro fragments x1093, x0072, x2193, rate=0",5.566914008014153,False,0.33345837676157,8.264348442368656,[H]OC([H])([H])C([H])([H])C([H])([H])N([H])C([H])([H])C([H])([H])C(=O)C1([H])N=C(OC([H])([H])C([H])([H])[C@]([H])(C([H])([H])O)C([H])([H])N=O)C([H])([H])C([H])([H])C1([H])[H]
mol_2023_03_01_0259333_000,48,0.8958333333333334,exp_29,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro fragments x1093, x0072, x2193, rate=0",6.6808243115512616,True,0.33304150063972127,,[H]N(C([H])([H])C([H])([H])C([H])([H])C(=O)C([H])([H])[H])C1([H])C([H])([H])C1([H])[H].[H]OC([H])([H])N(C([H])([H])C([H])([H])C([H])([H])OC([H])([H])[H])C1([H])OC1([H])[H]
mol_2023_03_01_0033503_000,48,0.8333333333333334,exp_29,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro fragments x1093, x0072, x2193, rate=0",5.892233358432701,True,0.05306669302638742,,[H]OC(=O)[C@]1(N/C([H])=C(/C([H])([H])[N+](=O)[O-])C([H])([H])C([H])([H])C([H])([H])[H])OC1([H])[H].[H]Oc1c([H])c([H])c(S2(O)OO2)c([C@@]([H])(O)OC([H])([H])[H])c1N([H])[H]
mol_2023_03_01_0251380_000,48,0.7291666666666666,exp_29,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro fragments x1093, x0072, x2193, rate=0",6.295127909844391,True,0.4159077669300807,,[H]C(=C(\[H])C([H])([H])C#N)/C1=C(\[H])C([H])(C([H])([H])[H])c2c([H])c([H])c3c(c2NN(S)C1([H])[H])N(C([H])([H])[H])SC([H])(C([H])([H])C([H])([H])C([H])([H])[H])N3.[H]C([H])([H])[H]
mol_2023_03_01_0143381_000,48,0.7916666666666666,exp_29,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro fragments x1093, x0072, x2193, rate=0",5.646992101546458,True,0.7045076376733767,,[H]C1=C([H])C2([H])C([H])([H])C2([H])S1.[H]N1[C@@]([H])(C([H])([H])C([H])([H])C([H])([H])[H])O[C@@]2([H])O[C@@]2([H])[C@@]1([H])C([H])([H])C([H])(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[H]
mol_2023_03_01_0227170_000,48,0.6666666666666666,exp_29,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro fragments x1093, x0072, x2193, rate=0",6.096414008191219,True,0.2949472839802242,,[H]C([H])([H])C(=C1OO1)C([H])([H])C([H])([H])[H].[H]N1C([H])([H])C1([H])[H].[H]c1c([H])c(NC([H])([H])SC([H])([H])N([H])[H])c([H])c(C([H])([H])[C@]2([H])OC2([H])[H])c1[H]
mol_2023_03_01_0016243_000,48,0.875,exp_29,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro fragments x1093, x0072, x2193, rate=0",5.426702256598697,True,0.2030515567871883,,[H]/C(=C(/[H])C([H])([H])[C@@]1([H])C(=O)N(C([H])([H])N([H])C([H])([H])C(=O)NO)C([H])([H])C1([H])[H])C([H])([H])[H].[H]N(C(=O)OC([H])([H])C([H])([H])[H])C1([H])OC1([H])[H]
mol_2023_03_01_0202233_000,48,0.7708333333333334,exp_29,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro fragments x1093, x0072, x2193, rate=0",5.890333998090928,True,0.7149254610390761,,[H]C1(OC([H])([H])C([H])([H])C([H])([H])[H])OC([H])([H])C([H])([H])S1.[H]c1sc2c(c1[H])C([H])(NN([H])c1c([H])c([H])c([H])c([H])c1[H])N(C([H])([H])[H])C2([H])[H]
mol_2023_03_01_0217422_000,48,0.8125,exp_29,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro fragments x1093, x0072, x2193, rate=0",6.13144248885666,True,0.5119331475289629,,[H]C1=C(N2C([H])([H])C2([H])N([H])C([H])([H])C([H])([H])[H])OC(=O)C([H])([H])C([H])=C1[H].[H]C1=C([H])C([H])(N([H])[H])C(C([H])([H])C2([H])N([H])[C@]2([H])C([H])([H])[H])=C1[H]
mol_2023_03_01_0148392_000,48,0.9166666666666666,exp_29,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro fragments x1093, x0072, x2193, rate=0",5.622367744564206,True,0.18180636510805329,,[H]N1C([H])([H])C([H])([H])C1([H])[H].[H]N=C(N[H])C([H])([H])C([H])([H])/C(=C(/[H])C([H])([H])N(C(=O)C([H])([H])C([H])([H])[H])C([H])([H])N([H])C([H])([H])N([H])[H])C([H])([H])[H]
mol_2023_03_01_0234030_000,48,0.6875,exp_29,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro fragments x1093, x0072, x2193, rate=0",6.465363877381417,True,0.11764921880087519,,[H]O/C(=N\C([H])([H])C1([H])SNC([H])=C([H])C([H])=C1[H])C([H])(C1([H])OC1([H])C([H])([H])[H])[C@@]1(Br)C(=O)N1[H].[H]c1nc2c(N([H])[H])c([H])c([H])nc2c([H])c1[H]
mol_2023_03_01_0002261_000,48,0.8958333333333334,exp_29,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro fragments x1093, x0072, x2193, rate=0",5.69580609624388,,,,
mol_2023_03_01_0037462_000,48,0.8333333333333334,exp_29,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro fragments x1093, x0072, x2193, rate=0",5.567493872530833,False,0.08813891428583981,8.337450613808715,[H]N=C(N(NC([H])([H])C([H])([H])NC([H])(O[N-2])N([H])C([H])([H])C([H])(C(=O)O)C([H])([H])C([H])([H])C(=O)C([H])([H])[H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[H]
mol_2023_03_01_0237153_000,48,0.8958333333333334,exp_29,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro fragments x1093, x0072, x2193, rate=0",5.120604260376822,False,0.16450350318511514,8.311499871602594,[H]/C(C(=O)N(OC([H])([H])C([H])([H])[H])C([H])([H])[C@]([H])(N([H])O)C([H])(C([H])([H])C([H])([H])[H])C1([H])N([H])C([H])([H])C([H])([H])C1([H])[H])=[N+](\[H])C([H])([H])C(=O)O[N+](=O)[O-]
