36
stable:False satoms:23 tatoms:36 sratio:0.6388888888888888
H 7.061538696 -4.815839767 26.435394287
C 9.255837440 -3.166554689 24.196878433
H 8.942573547 -2.281853914 23.592329025
C 11.111723900 -1.808829188 22.886461258
H 10.743898392 0.134545252 23.855876923
H 13.097682953 0.558105171 24.161634445
C 12.791538239 -0.453838527 23.956516266
C 13.063145638 -0.994302452 22.627790451
O 12.034245491 -1.511489391 22.085235596
N 8.138442993 -3.532439947 25.057216644
O 8.961785316 -5.535319328 25.987970352
O 8.620438576 -3.841894865 27.289146423
C 8.202568054 -4.487052917 26.243879318
H 13.968889236 -0.972214341 22.186035156
C 7.199465275 2.779349804 29.485054016
C 6.159334660 2.762705564 30.182846069
H 5.707002640 3.336797953 30.803348541
H 4.822322369 0.938963175 30.126611710
C 5.524851322 1.021183372 29.586843491
N 11.355906487 -0.536015332 24.190404892
C 11.075183868 -0.717742026 25.603137970
C 10.298388481 -2.755653143 25.039665222
H 11.514247894 -2.662064075 23.440513611
C 8.731101990 -1.493954539 26.049280167
C 8.413767815 -0.608541131 27.024494171
C 6.383362293 0.853164792 28.676916122
C 7.616148949 1.994868994 28.562803268
H 13.208564758 -1.192316055 24.627269745
N 10.025023460 -1.664234638 25.586633682
O 7.789639473 -2.346955776 25.664093018
H 7.444962502 -0.707990825 27.480489731
H 10.192828178 -2.002251625 22.253450394
H 9.137454987 0.008178754 27.512891769
O 11.650797844 -0.335545957 26.539041519
H 9.520212173 -4.002748966 23.557241440
N 7.169783592 1.158837080 27.984846115
