36
stable:True satoms:36 tatoms:36 sratio:1.0
H 6.957553864 -4.666333675 26.119451523
C 9.355676651 -2.118129253 23.550615311
O 8.327037811 -2.363114119 23.019731522
C 11.430996895 -1.043573499 23.102285385
N 11.108926773 -0.178793609 24.107622147
H 11.663600922 0.646440268 24.211133957
H 13.260667801 -0.029336691 22.591859818
C 12.872852325 -1.023499966 22.721330643
C 10.673684120 -2.110859394 22.883424759
H 8.240583420 -4.178291321 25.004396439
H 8.561208725 -5.414869785 26.214405060
H 8.329798698 -3.746887922 26.739515305
C 8.023874283 -4.504927635 26.015260696
H 13.050647736 -1.601471543 21.828880310
C 6.199826717 2.724941015 29.459154129
C 5.373890877 1.741316199 29.681503296
H 6.144869804 3.697015762 29.987812042
H 4.540650845 1.589141488 30.334194183
O 5.661983967 0.665847778 28.858171463
C 10.705856323 -1.029772878 25.162754059
H 10.674439430 -0.468806624 26.087787628
H 10.846244812 -3.004397631 25.870101929
H 11.029694557 -3.000730038 22.414520264
C 8.278890610 -1.414800525 25.668762207
C 7.316087723 -0.180351585 27.311824799
C 6.764947414 0.926645637 28.164663315
C 7.061526775 2.232389688 28.409484863
H 13.347026825 -1.476511717 23.560882568
N 9.423279762 -1.532758951 24.848852158
O 7.308723450 -2.099578142 25.430562973
H 6.577479362 -0.953705549 27.327890396
N 8.389774323 -0.480351686 26.684772491
H 7.743601799 2.877495527 27.913957596
H 11.872771263 -3.021172047 24.545238495
H 12.415036201 -2.069467306 25.878162384
C 11.526260376 -2.367368460 25.363256454
