107
stable:False satoms:64 tatoms:107 sratio:0.5981308411214953
H 10.371247292 -0.542905807 25.183979034
C 13.855927467 1.330919504 23.074087143
C 12.860724449 3.595795631 23.109037399
O 10.803131104 5.209167480 24.614555359
N 8.924258232 0.741382122 24.351135254
C 7.023983955 1.781544089 23.227739334
C 7.665381908 0.439403176 24.362064362
H 8.615831375 -1.844725132 23.277648926
C 9.818130493 -0.444061249 24.238403320
C 11.734414101 -0.282081246 23.004423141
H 10.738936424 3.704501152 22.297662735
H 8.803541183 -2.239547491 21.211572647
N 7.248415470 -1.784192085 18.743671417
C 7.014266968 -0.488263696 18.629537582
H 6.719917774 -2.941729307 20.370166779
C 6.204464912 -4.983404160 22.409988403
N 6.539091110 -5.663688660 23.450117111
H 5.775016308 -5.544924736 21.623722076
C 7.301946163 -2.160779238 19.965368271
H 6.368054867 -3.928313732 22.312726974
C 8.749422073 -0.523852170 21.194005966
C 10.299998283 -0.396015704 23.037197113
H 12.031879425 -0.085559979 21.973636627
C 6.215017796 0.322163433 19.381612778
H 4.717544556 0.730062246 18.008163452
N 8.176174164 -1.556924820 20.812608719
C 8.092294693 -0.696283937 26.337039948
C 11.596483231 -2.327114344 22.976686478
H 13.763546944 -1.745342374 21.484210968
N 8.102758408 0.297908396 25.421516418
O 4.780532360 0.258011311 25.612331390
H 6.228457928 2.085511446 22.569517136
C 5.116355896 0.829323709 24.673782349
N 6.402909756 0.910758734 24.020395279
O 4.005936623 1.392100811 24.176303864
O 7.876725197 -6.587242126 26.114347458
C 8.522556305 -3.045531988 26.120700836
H 10.126381874 -3.490463018 22.672952652
C 7.497920513 -5.172435760 23.905511856
N 10.470657349 -2.585646629 22.658342361
C 9.031309128 -6.051987171 25.845209122
N 8.234008789 -2.932718039 27.240608215
N 8.328841209 -1.981205583 26.171722412
C 9.100281715 -3.808794737 24.850393295
C 12.444142342 4.823915958 23.265865326
C 13.085481644 2.450634956 23.181371689
N 10.543334961 1.932654262 23.911783218
C 0.438648820 3.316298246 23.490728378
H 0.930260897 5.095458508 25.152166367
C -1.646265149 4.079349041 24.494907379
H -2.598410130 4.471164703 24.431894302
C -1.123125672 3.485959768 23.415954590
H -1.388504267 3.128025055 22.507627487
N 1.562424421 3.246028662 23.018711090
H 14.591946602 1.678783774 22.406545639
H 14.149218559 -1.799350023 24.366315842
H 8.496158600 4.701591015 23.108911514
O 11.669589043 5.772643089 23.528436661
N 10.220916748 4.297187805 24.200775146
C 13.793054581 -1.263073802 23.491712570
H 4.808414936 1.910437822 19.292583466
H 7.130253315 -4.901436806 26.719125748
C 13.995975494 0.123838708 23.520534515
N 8.234553337 -4.196991444 24.021291733
C 9.614416122 2.243097305 22.995574951
C 10.421679497 3.156981707 23.295564651
C 8.143393517 -5.457177162 26.706611633
H 9.215880394 -6.315089226 24.726182938
H 10.825650215 -4.793553829 24.337810516
O 14.210676193 -1.800180912 22.312025070
C 6.268337250 2.421938181 29.650598526
H 5.707575321 3.016221046 28.977222443
H 6.544512272 3.054698706 30.510744095
H 5.658921719 1.578748941 29.988130569
H 5.887473106 0.276014060 28.267650604
C 6.922352314 0.437178552 28.142124176
S 7.704221249 1.767458677 28.738796234
N 12.354222298 -1.512216568 23.411859512
O 7.656188488 -0.397085398 27.532581329
H 10.090758324 -6.006705761 26.102289200
C 7.723803043 3.963688374 22.944082260
C 9.464634895 0.257315964 21.827678680
H 7.357568741 4.037996292 21.952400208
H 6.255866051 -0.167494237 22.355157852
N 8.152118683 2.563466549 23.071926117
H 6.887648106 4.086293221 23.625921249
O 9.720442772 1.498677969 21.693204880
C 6.085223198 0.327268958 20.734407425
C 5.382574558 1.266804099 18.649589539
H 7.585945606 -0.054230988 17.848642349
C 0.523920059 4.214870453 25.576925278
H 0.907934129 4.050037861 26.544406891
H -1.417528152 4.324389935 26.556163788
C -0.954906046 4.158800125 25.637834549
C 0.869791985 3.377936363 24.182691574
H 2.227773666 1.733337402 24.064153671
O 4.463557243 1.153637052 21.993026733
H 4.060692310 1.097078204 21.101339340
S 3.359588146 3.623970985 25.118743896
N 3.124308825 2.247888565 24.196720123
H 6.034629822 1.826328635 17.974681854
C 5.562497139 0.435166597 21.691595078
C 10.411815643 -4.007298946 24.907546997
H 11.063355446 -3.282610416 25.324935913
C 9.641388893 -1.561112881 23.388820648
H 11.911359787 0.408126503 23.855844498
H 8.616991043 -4.943500042 27.592943192
